Ticker,Company Name,Sector,Industry
A,AGILENT TECHNOLOGIES INC,Healthcare,Medical Diagnostics & Research
A21,Li Auto Inc.,,
AA,Alcoa Corp,Basic Materials,Metals & Mining
AAC_delist,"AAC Holdings, Inc.",Healthcare,Health Care Providers
AAL,American Airlines Group Inc.,Industrials,Airlines
AAMC,Altisource Asset Management Corp,Financial Services,Asset Management
AAME,ATLANTIC AMERICAN CORP,Financial Services,Insurance - Life
AAN,"Aaron's Company, Inc.",Industrials,Consulting & Outsourcing
AAOI,"APPLIED OPTOELECTRONICS, INC.",Technology,Semiconductors
AAON,AAON INC,Industrials,Industrial Products
AAP,ADVANCE AUTO PARTS INC,Consumer Cyclical,Retail - Apparel & Specialty
AAPL,APPLE INC,Technology,Computer Hardware
AAT,"American Assets Trust, Inc.",Real Estate,REITs
AAWW,ATLAS AIR WORLDWIDE HOLDINGS INC,Industrials,Transportation & Logistics
ABAX,ABAXIS INC,Healthcare,Medical Diagnostics & Research
ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers
ABC,AMERISOURCEBERGEN CORP,Healthcare,Medical Distribution
ABCB,Ameris Bancorp,Financial Services,Banks
ABCD,"CAMBIUM LEARNING GROUP, INC.",Consumer Defensive,Education
ABCL,AbCellera Biologics Inc.,Healthcare,Biotechnology
ABEO,ABEONA THERAPEUTICS INC.,,
ABG,ASBURY AUTOMOTIVE GROUP INC,Consumer Cyclical,Autos
ABIO,"ARCA biopharma, Inc.",,
ABM,ABM INDUSTRIES INC /DE/,Industrials,Business Services
ABMC,AMERICAN BIO MEDICA CORP,Healthcare,Biotechnology
ABMD,Abiomed Inc,Healthcare,Medical Devices
ABNB,"Airbnb, Inc.",Consumer Cyclical,Travel & Leisure
ABR,ARBOR REALTY TRUST INC,Real Estate,REITs
ABSI,Absci Corp,Healthcare,Biotechnology
ABT,ABBOTT LABORATORIES,Healthcare,Medical Devices
ABTL,"AutoWeb, Inc.",Technology,Online Media
ABTX,"Allegiance Bancshares, Inc.",Financial Services,Banks
ABUS,Arbutus Biopharma Corp,Healthcare,Biotechnology
AC,"Associated Capital Group, Inc.",Financial Services,"Brokers, Exchanges & Other"
ACA,"Arcosa, Inc.",Industrials,Engineering & Construction
ACAD,Acadia Pharmaceuticals Inc,Healthcare,Biotechnology
ACAN,"AmeriCann, Inc.",Healthcare,Drug Manufacturers
ACAT,ARCTIC CAT INC,Consumer Cyclical,Autos
ACC,American Campus Communities Inc,Real Estate,REITs
ACCO,ACCO BRANDS Corp,Industrials,Industrial Products
ACER,Acer Therapeutics Inc.,Healthcare,Biotechnology
ACET,"Adicet Bio, Inc.",Healthcare,Biotechnology
